,Date,Time,Open,High,Low,Close,Volume
2000,2011/8/15,0:00:00,3640,3645,3600,3615,2127400
1999,2011/8/16,0:00:00,3660,3710,3660,3705,1785500
1998,2011/8/17,0:00:00,3675,3690,3630,3640,1614600
1997,2011/8/18,0:00:00,3600,3615,3530,3550,1989600
1996,2011/8/19,0:00:00,3480,3525,3465,3495,2482400
1995,2011/8/22,0:00:00,3495,3585,3490,3545,2120400
1994,2011/8/23,0:00:00,3555,3590,3540,3585,2388600
1993,2011/8/24,0:00:00,3630,3645,3595,3605,2297400
1992,2011/8/25,0:00:00,3680,3780,3675,3755,3157900
1991,2011/8/26,0:00:00,3710,3740,3690,3735,1331600
1990,2011/8/29,0:00:00,3740,3835,3715,3810,1624000
1989,2011/8/30,0:00:00,3840,3875,3795,3800,1448300
1988,2011/8/31,0:00:00,3805,3875,3800,3850,1402600
1987,2011/9/1,0:00:00,3875,3890,3850,3860,1416400
1986,2011/9/2,0:00:00,3825,3835,3760,3830,2167100
1985,2011/9/5,0:00:00,3825,3825,3730,3750,1804200
1984,2011/9/6,0:00:00,3680,3710,3635,3665,2183700
1983,2011/9/7,0:00:00,3720,3765,3700,3760,1435200
1982,2011/9/8,0:00:00,3790,3835,3785,3810,1199300
1981,2011/9/9,0:00:00,3780,3835,3780,3800,3341000
1980,2011/9/12,0:00:00,3720,3780,3710,3770,1227700
1979,2011/9/13,0:00:00,3790,3820,3780,3800,995100
1978,2011/9/14,0:00:00,3785,3815,3715,3720,1414700
1977,2011/9/15,0:00:00,3795,3850,3780,3830,1202700
1976,2011/9/16,0:00:00,3900,3970,3890,3970,1632900
1975,2011/9/20,0:00:00,3900,3920,3860,3895,1047500
1974,2011/9/21,0:00:00,3850,3915,3850,3900,945800
1973,2011/9/22,0:00:00,3830,3850,3670,3720,3165200
1972,2011/9/26,0:00:00,3695,3755,3655,3745,2442700
1971,2011/9/27,0:00:00,3790,3850,3760,3850,1500700
1970,2011/9/28,0:00:00,3820,3885,3800,3840,1372000
1969,2011/9/29,0:00:00,3820,3845,3750,3810,2095800
1968,2011/9/30,0:00:00,3840,3885,3790,3830,1374200
1967,2011/10/3,0:00:00,3730,3770,3700,3745,1663000
1966,2011/10/4,0:00:00,3655,3705,3645,3695,1619100
1965,2011/10/5,0:00:00,3735,3765,3700,3735,1598800
1964,2011/10/6,0:00:00,3740,3835,3740,3830,1043700
1963,2011/10/7,0:00:00,3850,3900,3830,3895,1217600
1962,2011/10/11,0:00:00,4005,4020,3965,3985,1225800
1961,2011/10/12,0:00:00,4005,4010,3960,3985,1145700
1960,2011/10/13,0:00:00,4040,4060,4020,4045,987400
1959,2011/10/14,0:00:00,4040,4060,3990,4010,1476200
1958,2011/10/17,0:00:00,4080,4085,4035,4065,810700
1957,2011/10/18,0:00:00,3975,3980,3915,3955,1412000
1956,2011/10/19,0:00:00,3960,3975,3900,3945,1619300
1955,2011/10/20,0:00:00,3935,3945,3885,3925,972200
1954,2011/10/21,0:00:00,3935,3970,3930,3940,531500
1953,2011/10/24,0:00:00,3975,4035,3965,4025,894600
