,Date,Time,Open,High,Low,Close,Volume
2000,2011/8/16,0:00:00,2260,2270,2210,2230,602700
1999,2011/8/17,0:00:00,2240,2250,2220,2240,685400
1998,2011/8/18,0:00:00,2220,2240,2210,2220,249900
1997,2011/8/19,0:00:00,2170,2180,2120,2180,374900
1996,2011/8/22,0:00:00,2170,2190,2130,2150,805200
1995,2011/8/23,0:00:00,2160,2200,2150,2190,516700
1994,2011/8/24,0:00:00,2220,2240,2180,2190,482600
1993,2011/8/25,0:00:00,2210,2240,2210,2230,664000
1992,2011/8/26,0:00:00,2220,2290,2210,2290,826800
1991,2011/8/29,0:00:00,2290,2380,2280,2360,933000
1990,2011/8/30,0:00:00,2380,2400,2350,2390,496800
1989,2011/8/31,0:00:00,2310,2360,2270,2340,733600
1988,2011/9/1,0:00:00,2370,2370,2340,2350,290900
1987,2011/9/2,0:00:00,2330,2360,2310,2340,330900
1986,2011/9/5,0:00:00,2320,2360,2300,2360,410300
1985,2011/9/6,0:00:00,2350,2350,2250,2260,638300
1984,2011/9/7,0:00:00,2340,2350,2250,2290,516700
1983,2011/9/8,0:00:00,2300,2310,2250,2260,344600
1982,2011/9/9,0:00:00,2270,2290,2240,2270,692000
1981,2011/9/12,0:00:00,2230,2370,2230,2360,972400
1980,2011/9/13,0:00:00,2380,2400,2360,2390,543000
1979,2011/9/14,0:00:00,2390,2400,2320,2330,537900
1978,2011/9/15,0:00:00,2370,2440,2360,2440,757100
1977,2011/9/16,0:00:00,2440,2450,2420,2440,365200
1976,2011/9/20,0:00:00,2440,2460,2420,2420,437800
1975,2011/9/21,0:00:00,2450,2490,2440,2490,404400
1974,2011/9/22,0:00:00,2470,2490,2450,2450,377500
1973,2011/9/26,0:00:00,2450,2450,2350,2400,553100
1972,2011/9/27,0:00:00,2440,2480,2430,2470,414800
1971,2011/9/28,0:00:00,2490,2540,2480,2530,504500
1970,2011/9/29,0:00:00,2490,2630,2490,2620,560200
1969,2011/9/30,0:00:00,2600,2650,2560,2630,650700
1968,2011/10/3,0:00:00,2610,2630,2560,2600,536900
1967,2011/10/4,0:00:00,2530,2580,2530,2560,342800
1966,2011/10/5,0:00:00,2570,2590,2540,2560,343600
1965,2011/10/6,0:00:00,2590,2620,2530,2540,324900
1964,2011/10/7,0:00:00,2550,2560,2510,2530,386700
1963,2011/10/11,0:00:00,2590,2600,2570,2580,283200
1962,2011/10/12,0:00:00,2560,2590,2550,2580,258200
1961,2011/10/13,0:00:00,2590,2620,2530,2530,551700
1960,2011/10/14,0:00:00,2530,2540,2480,2480,329900
1959,2011/10/17,0:00:00,2540,2540,2420,2440,520400
1958,2011/10/18,0:00:00,2430,2480,2430,2460,276200
1957,2011/10/19,0:00:00,2480,2480,2440,2460,251100
1956,2011/10/20,0:00:00,2450,2500,2430,2470,256200
1955,2011/10/21,0:00:00,2450,2490,2450,2470,174600
1954,2011/10/24,0:00:00,2470,2500,2470,2480,230900
1953,2011/10/25,0:00:00,2490,2500,2440,2450,225500
1952,2011/10/26,0:00:00,2470,2480,2420,2420,176800
1951,2011/10/27,0:00:00,2420,2430,2370,2420,276800
1950,2011/10/28,0:00:00,2440,2440,2320,2390,540300
1949,2011/10/31,0:00:00,2400,2430,2380,2400,272800
1948,2011/11/1,0:00:00,2370,2420,2370,2410,280700
1947,2011/11/2,0:00:00,2400,2430,2390,2410,191900
1946,2011/11/4,0:00:00,2420,2450,2390,2450,216400
1945,2011/11/7,0:00:00,2440,2450,2410,2430,203700
1944,2011/11/8,0:00:00,2440,2500,2230,2290,798700
1943,2011/11/9,0:00:00,2320,2400,2320,2340,503100
1942,2011/11/10,0:00:00,2270,2310,2240,2300,330200
1941,2011/11/11,0:00:00,2310,2310,2240,2300,389500
1940,2011/11/14,0:00:00,2310,2320,2290,2300,351800
1939,2011/11/15,0:00:00,2290,2350,2290,2310,220300
1938,2011/11/16,0:00:00,2310,2330,2250,2250,194400
1937,2011/11/17,0:00:00,2230,2270,2220,2250,265900
1936,2011/11/18,0:00:00,2220,2250,2220,2230,204800
1935,2011/11/21,0:00:00,2220,2230,2200,2220,141300
1934,2011/11/22,0:00:00,2200,2220,2180,2200,193500
1933,2011/11/24,0:00:00,2170,2200,2160,2160,151700
1932,2011/11/25,0:00:00,2170,2200,2150,2160,154400
1931,2011/11/28,0:00:00,2200,2220,2170,2200,296100
1930,2011/11/29,0:00:00,2190,2220,2180,2210,294900
1929,2011/11/30,0:00:00,2210,2240,2190,2190,283900
1928,2011/12/1,0:00:00,2250,2280,2230,2250,263300
1927,2011/12/2,0:00:00,2250,2290,2250,2270,194900
1926,2011/12/5,0:00:00,2290,2330,2280,2320,268000
1925,2011/12/6,0:00:00,2330,2340,2280,2290,229400
1924,2011/12/7,0:00:00,2310,2380,2300,2370,305200
1923,2011/12/8,0:00:00,2340,2400,2330,2380,194200
1922,2011/12/9,0:00:00,2360,2390,2350,2350,516200
1921,2011/12/12,0:00:00,2370,2410,2360,2390,269200
1920,2011/12/13,0:00:00,2360,2420,2360,2380,199300
1919,2011/12/14,0:00:00,2380,2420,2340,2350,317000
1918,2011/12/15,0:00:00,2330,2400,2320,2360,329000
1917,2011/12/16,0:00:00,2370,2390,2320,2340,306100
1916,2011/12/19,0:00:00,2200,2210,2070,2150,1674500
1915,2011/12/20,0:00:00,2150,2200,2130,2180,662500
1914,2011/12/21,0:00:00,2200,2210,2090,2120,592000
1913,2011/12/22,0:00:00,2120,2130,2070,2090,449900
