Date,Open,High,Low,Close,Adj Close,Volume
2015/8/10,20618.31055,20820.85938,20617.05078,20808.68945,20808.68945,138700
2015/8/11,20920.59961,20946.92969,20582.00977,20720.75,20720.75,159200
2015/8/12,20632.67969,20703.19922,20303.01953,20392.76953,20392.76953,170300
2015/8/13,20392.53906,20633.91016,20306.98047,20595.55078,20595.55078,167400
2015/8/14,20518.35938,20605.46094,20484.66992,20519.44922,20519.44922,139400
2015/8/17,20600.16016,20668.86914,20541,20620.25977,20620.25977,106600
2015/8/18,20640.58984,20663.17969,20545.25,20554.4707,20554.4707,113100
2015/8/19,20467.49023,20521.9707,20218.0293,20222.63086,20222.63086,141100
2015/8/20,20194.25977,20246.4707,20033.28906,20033.51953,20033.51953,147900
2015/8/21,19711.33984,19737.53906,19435.83008,19435.83008,19435.83008,189900
2015/8/24,19075.05078,19154.65039,18498.80078,18540.67969,18540.67969,274400
2015/8/25,18171.66016,18835.34961,17747.5,17806.69922,17806.69922,335600
2015/8/26,17894.28906,18442.83984,17714.30078,18376.83008,18376.83008,246800
2015/8/27,18680.4707,18810.05078,18486.46094,18574.43945,18574.43945,192100
2015/8/28,18908.73047,19192.82031,18901.08984,19136.32031,19136.32031,205200
2015/8/31,19006.98047,19019.60938,18749.76953,18890.48047,18890.48047,167600
2015/9/1,18763.7207,18777.4707,18165.68945,18165.68945,18165.68945,176800
2015/9/2,17861.81055,18467.43945,17857.30078,18095.40039,18095.40039,197900
2015/9/3,18359.5293,18481.57031,18176.75,18182.39063,18182.39063,143000
2015/9/4,18312.13086,18312.13086,17608.16992,17792.16016,17792.16016,171100
2015/9/7,17674.82031,18013.64063,17478.7207,17860.4707,17860.4707,164600
2015/9/8,17941.91016,17962.56055,17415.60938,17427.08008,17427.08008,154900
2015/9/9,17758.13086,18770.50977,17756.75977,18770.50977,18770.50977,201700
2015/9/10,18418.64063,18420.56055,17956.15039,18299.61914,18299.61914,172700
2015/9/11,18155.71094,18362.99023,18124.34961,18264.2207,18264.2207,201500
2015/9/14,18341.00977,18344.07031,17925.08984,17965.69922,17965.69922,126500
2015/9/15,18082.7207,18329.57031,17995.98047,18026.48047,18026.48047,146400
2015/9/16,18238.15039,18291.9707,18094.99023,18171.59961,18171.59961,126000
2015/9/17,18361.99023,18468.19922,18289.63086,18432.26953,18432.26953,130900
2015/9/18,18275.48047,18295.90039,18069.5,18070.21094,18070.21094,172000
2015/9/24,17803.41016,17865.83984,17571.83008,17571.83008,17571.83008,167900
2015/9/25,17618.30078,17880.50977,17483.68945,17880.50977,17880.50977,184800
2015/9/28,17811.11914,17886.49023,17562.59961,17645.10938,17645.10938,130800
2015/9/29,17359.38086,17366.94922,16901.49023,16930.83984,16930.83984,206300
2015/9/30,17193.83984,17460.9707,17179.40039,17388.15039,17388.15039,156500
2015/10/1,17479.9707,17831.58008,17389.57031,17722.41992,17722.41992,161200
2015/10/2,17564.39063,17775.76953,17537.84961,17725.13086,17725.13086,125300
2015/10/5,17921,18079.46094,17869.74023,18005.49023,18005.49023,120900
2015/10/6,18302.41016,18372.7207,18094.84961,18186.09961,18186.09961,147600
2015/10/7,18168.19922,18379.23047,18043.08008,18322.98047,18322.98047,160800
2015/10/8,18310.61914,18400.68945,18121.67969,18141.16992,18141.16992,158300
2015/10/9,18281.50977,18438.66992,18184.96094,18438.66992,18438.66992,185000
2015/10/13,18335.15039,18359.71094,18223.80078,18234.74023,18234.74023,144300
2015/10/14,18106.66016,18126.39063,17831.5293,17891,17891,145000
2015/10/15,17804.91016,18170.66992,17758.11914,18096.90039,18096.90039,131700
2015/10/16,18300.83008,18397.51953,18238.7793,18291.80078,18291.80078,129600
2015/10/19,18282.7793,18314.08984,18078.42969,18131.23047,18131.23047,121300
2015/10/20,18245.53906,18253.13086,18147.98047,18207.15039,18207.15039,118800
2015/10/21,18167.64063,18605.41016,18167.64063,18554.2793,18554.2793,142900
2015/10/22,18443.68945,18579.14063,18376.00977,18435.86914,18435.86914,123900
2015/10/23,18762.65039,18915.64063,18746.60938,18825.30078,18825.30078,147500
2015/10/26,19036.13086,19088.75977,18937.44922,18947.11914,18947.11914,121800
2015/10/27,18961.16016,18964.99023,18760.78906,18777.03906,18777.03906,123300
2015/10/28,18826.93945,18925.50977,18815.11914,18903.01953,18903.01953,110200
2015/10/29,19046.16016,19080.89063,18809.48047,18935.71094,18935.71094,178200
2015/10/30,18924.31055,19202.33984,18784.68945,19083.09961,19083.09961,182000
2015/11/2,18827.10938,18861.10938,18641.2207,18683.24023,18683.24023,148300
2015/11/4,18941.32031,19151.89063,18926.91016,18926.91016,18926.91016,157000
2015/11/5,19029.43945,19167.08984,18995.96094,19116.41016,19116.41016,145900
2015/11/6,19194.33984,19294.15039,19164.85938,19265.59961,19265.59961,121300
2015/11/9,19411.50977,19684.41016,19389.74023,19642.74023,19642.74023,168800
2015/11/10,19457.05078,19674.05078,19457.05078,19671.25977,19671.25977,131200
2015/11/11,19602.00977,19724.11914,19602.00977,19691.39063,19691.39063,131300
2015/11/12,19644.65039,19725.83008,19597.99023,19697.76953,19697.76953,123500
2015/11/13,19495.25977,19601.49023,19388.91016,19596.91016,19596.91016,139100
2015/11/16,19263.96094,19451.08984,19252.03906,19393.68945,19393.68945,111500
2015/11/17,19641.66992,19726.00977,19628.83984,19630.63086,19630.63086,145400
2015/11/18,19771.85938,19840,19643.9707,19649.17969,19649.17969,126700
2015/11/19,19851.24023,19959.06055,19761.56055,19859.81055,19859.81055,139600
2015/11/20,19800.19922,19879.81055,19715.74023,19879.81055,19879.81055,109700
2015/11/24,19875.99023,19954,19834.75977,19924.89063,19924.89063,133900
2015/11/25,19856.83984,19871.75,19786.5293,19847.58008,19847.58008,133200
2015/11/26,19929.9707,19992.43945,19926.09961,19944.41016,19944.41016,117300
2015/11/27,19994.05078,19994.05078,19831.25,19883.93945,19883.93945,114600
2015/11/30,19857.38086,19867.94922,19707.66992,19747.4707,19747.4707,161200
2015/12/1,19799.08008,20012.40039,19797.55078,20012.40039,20012.40039,133100
2015/12/2,19957.5,20002.11914,19926.2207,19938.13086,19938.13086,115900
2015/12/3,19894.63086,19967.88086,19862.74023,19939.90039,19939.90039,116200
2015/12/4,19616.51953,19660.90039,19444.53906,19504.48047,19504.48047,134100
2015/12/7,19710.39063,19811.50977,19677.21094,19698.15039,19698.15039,103300
2015/12/8,19689.86914,19764.21094,19475.2793,19492.59961,19492.59961,124100
2015/12/9,19391.5,19475.40039,19260.11914,19301.07031,19301.07031,130300
2015/12/10,19070.01953,19125.06055,19025.7793,19046.55078,19046.55078,116100
2015/12/11,19020.75,19282.21094,19020.75,19230.48047,19230.48047,165800
2015/12/14,18887.08984,18911.7793,18611.08984,18883.41992,18883.41992,134300
2015/12/15,18869.03906,18897.86914,18562.50977,18565.90039,18565.90039,137800
2015/12/16,18868.19922,19054.89063,18859.10938,19049.91016,19049.91016,143900
2015/12/17,19364.57031,19507.16992,19325.15039,19353.56055,19353.56055,152700
2015/12/18,19320.46094,19869.08008,18982.25,18986.80078,18986.80078,199200
2015/12/21,18845.5,18979.83008,18651.13086,18916.01953,18916.01953,154800
2015/12/22,18927.85938,18943.46094,18824.65039,18886.69922,18886.69922,135700
2015/12/24,19071.41016,19071.41016,18780.93945,18789.68945,18789.68945,129500
2015/12/25,18823.91016,18870.69922,18744.43945,18769.06055,18769.06055,122600
2015/12/28,18838.91016,18922.90039,18764.53906,18873.34961,18873.34961,102300
2015/12/29,18843.39063,18991.00977,18783.35938,18982.23047,18982.23047,96900
2015/12/30,19070.83008,19113.17969,19017.26953,19033.71094,19033.71094,100500
2016/1/4,18818.58008,18951.11914,18394.42969,18450.98047,18450.98047,140200
2016/1/5,18398.75977,18547.38086,18327.51953,18374,18374,132300
2016/1/6,18410.57031,18469.38086,18064.30078,18191.32031,18191.32031,142200
2016/1/7,18139.76953,18172.03906,17767.33984,17767.33984,17767.33984,168000
2016/1/8,17562.23047,17975.31055,17509.64063,17697.96094,17697.96094,184300
2016/1/12,17470.92969,17546.57031,17184.7793,17218.96094,17218.96094,178400
2016/1/13,17449.11914,17717.75,17414.55078,17715.63086,17715.63086,145900
2016/1/14,17384.92969,17393.83008,16944.41016,17240.94922,17240.94922,178300
2016/1/15,17522.46094,17597.86914,17057.59961,17147.10938,17147.10938,167800
2016/1/18,16826.92969,17037.25977,16665.05078,16955.57031,16955.57031,157200
2016/1/19,16902.28906,17088.31055,16812.65039,17048.36914,17048.36914,154200
2016/1/20,17030.2793,17031.32031,16387.60938,16416.18945,16416.18945,177800
2016/1/21,16466.85938,16734.58008,16017.25977,16017.25977,16017.25977,228200
2016/1/22,16336.71973,16993.96094,16332.4502,16958.5293,16958.5293,186800
2016/1/25,17145.81055,17208.24023,16922.21094,17110.91016,17110.91016,157000
2016/1/26,16833.13086,16839.51953,16652.25977,16708.90039,16708.90039,147000
2016/1/27,16949.18945,17242.26953,16947.94922,17163.91992,17163.91992,155000
2016/1/28,17059.83984,17235.43945,16942.13086,17041.44922,17041.44922,140900
2016/1/29,17155.06055,17638.92969,16767.08984,17518.30078,17518.30078,294400
2016/2/1,17699.59961,17905.36914,17666.48047,17865.23047,17865.23047,245000
2016/2/2,17716.51953,17864.69922,17684.66016,17750.67969,17750.67969,200800
2016/2/3,17497.41016,17515.67969,17080.57031,17191.25,17191.25,228500
2016/2/4,17071.10938,17209.56055,16941.88086,17044.99023,17044.99023,238800
2016/2/5,16790.5293,16893.11914,16627.80078,16819.58984,16819.58984,259900
2016/2/8,16620.91016,17099.00977,16552.30078,17004.30078,17004.30078,200100
2016/2/9,16666.78906,16668.69922,16025.94043,16085.44043,16085.44043,228200
2016/2/10,16127.86035,16163.03027,15429.99023,15713.38965,15713.38965,283500
2016/2/12,15426.26953,15437.21973,14865.76953,14952.61035,14952.61035,340500
2016/2/15,15248.37988,16155.09961,15243.87988,16022.58008,16022.58008,232200
2016/2/16,15849.46973,16341.55957,15809.58008,16054.42969,16054.42969,224900
2016/2/17,16035.34961,16214.45996,15632.12012,15836.36035,15836.36035,204100
2016/2/18,16138.08008,16337.58984,16118.79981,16196.79981,16196.79981,187800
2016/2/19,16050.40039,16050.45996,15799.34961,15967.16992,15967.16992,161700
2016/2/22,15851.38965,16187.40039,15816.83008,16111.04981,16111.04981,139800
2016/2/23,16230.37988,16350.37988,16001.19043,16052.04981,16052.04981,165200
2016/2/24,15851.12988,16006.4502,15753.76953,15915.79004,15915.79004,151600
2016/2/25,15983.46973,16218.29004,15953.92969,16140.33984,16140.33984,169800
2016/2/26,16311.51953,16472.5,16188.41016,16188.41016,16188.41016,147400
2016/2/29,16313.30957,16464.75,16026.75977,16026.75977,16026.75977,164300
2016/3/1,16013,16099.41992,15857.37012,16085.50977,16085.50977,152300
2016/3/2,16391.48047,16815.25,16388.91992,16746.55078,16746.55078,175100
2016/3/3,16695.7793,16962.94922,16691.93945,16960.16016,16960.16016,201400
