date,open,high,low,close,volume
2019/1/4,20030,20100,19790,20100,75300
2019/1/7,20700,20850,20580,20600,70014
2019/1/8,20760,20930,20690,20800,46069
2019/1/9,20940,21080,20920,21020,41661
2019/1/10,20860,20930,20680,20730,24189
2019/1/11,20910,20970,20870,20960,26287
2019/1/15,20800,21160,20780,21120,43736
2019/1/16,21160,21160,20910,21020,62333
2019/1/17,21110,21160,20920,20970,22294
2019/1/18,21060,21270,21060,21250,67781
2019/1/21,21460,21490,21260,21300,66413
2019/1/22,21380,21400,21150,21180,27882
2019/1/23,21030,21270,21030,21170,29020
2019/1/24,21110,21210,21060,21170,14628
2019/1/25,21210,21430,21210,21370,91206
2019/1/28,21360,21360,21210,21240,32478
2019/1/29,21110,21270,20990,21250,47811
2019/1/30,21290,21300,21120,21160,9552
2019/1/31,21470,21490,21280,21360,41123
2019/2/1,21380,21520,21340,21360,47093
2019/2/4,21410,21510,21400,21460,17108
2019/2/5,21570,21570,21420,21430,32280
2019/2/6,21530,21560,21460,21470,20410
2019/2/7,21490,21510,21260,21350,30568
2019/2/8,21090,21140,20900,20910,28444
2019/2/12,21030,21480,21030,21460,61054
2019/2/13,21620,21810,21590,21740,99591
2019/2/14,21750,21830,21710,21730,31800
2019/2/15,21590,21600,21450,21490,36817
2019/2/18,21880,21920,21790,21880,31445
2019/2/19,21880,21950,21820,21920,15289
2019/2/20,21970,22100,21910,22030,21266
2019/2/21,22020,22170,21920,22080,50902
2019/2/22,21980,22070,21960,22060,8554
2019/2/25,22180,22210,22120,22140,34778
2019/2/26,22190,22240,22020,22070,43596
2019/2/27,22130,22210,22130,22190,29740
2019/2/28,22160,22160,21990,22000,39856
2019/3/1,22110,22270,22110,22250,33512
2019/3/4,22430,22500,22380,22460,48358
2019/3/5,22350,22430,22290,22350,49978
2019/3/6,22300,22320,22190,22240,26950
2019/3/7,22100,22110,22030,22080,24862
2019/3/8,21940,21950,21610,21630,98557
2019/3/11,21680,21770,21570,21730,44658
2019/3/12,22010,22200,22000,22140,45940
2019/3/13,22060,22090,21810,21920,36865
2019/3/14,22110,22150,21920,21930,23424
2019/3/15,22000,22140,22000,22080,47006
2019/3/18,22210,22250,22130,22210,14045
2019/3/19,22200,22210,22080,22190,23155
2019/3/20,22190,22240,22130,22230,29499
2019/3/22,22240,22290,22110,22180,27731
2019/3/25,21800,21830,21490,21560,67163
2019/3/26,21780,22070,21780,22020,54189
2019/3/27,22140,22180,22050,22150,36345
2019/3/28,21980,21990,21770,21820,61434
2019/3/29,22040,22080,21940,21990,23856
2019/4/1,22350,22490,22280,22310,55693
2019/4/2,22540,22550,22290,22310,64230
2019/4/3,22350,22520,22300,22490,57267
2019/4/4,22540,22590,22480,22510,30112
2019/4/5,22540,22650,22540,22610,32788
2019/4/8,22720,22720,22560,22590,18045
2019/4/9,22580,22630,22500,22600,26513
2019/4/10,22370,22490,22360,22480,37376
2019/4/11,22450,22530,22430,22510,32186
2019/4/12,22630,22680,22500,22680,31078
2019/4/15,22910,23020,22910,23000,240606
2019/4/16,22950,23080,22950,23050,104557
2019/4/17,23090,23170,23020,23110,50684
2019/4/18,23100,23120,22880,22900,36978
2019/4/19,23060,23070,22990,23020,12493
2019/4/22,23040,23110,22920,23050,13374
2019/4/23,23070,23100,22950,23090,41224
2019/4/24,23180,23190,22950,23020,104675
2019/4/25,23020,23170,23000,23160,77144
2019/4/26,23010,23100,22910,23080,35870
2019/5/7,22960,22980,22710,22750,56932
2019/5/8,22430,22450,22340,22420,107600
2019/5/9,22310,22370,22130,22220,88684
2019/5/10,22220,22410,21980,22170,85458
2019/5/13,21980,22080,21940,21990,23084
2019/5/14,21560,21890,21550,21890,50505
2019/5/15,21930,21990,21770,21980,52436
2019/5/16,21940,21940,21750,21870,29518
2019/5/17,22070,22200,22010,22060,28968
2019/5/20,22100,22240,22100,22140,24221
2019/5/21,22030,22120,21970,22070,16446
2019/5/22,22190,22210,22080,22100,16964
2019/5/23,22000,22030,21880,21960,32428
2019/5/24,21740,21920,21710,21920,68629
2019/5/27,21990,22040,21920,21990,13611
2019/5/28,22030,22110,22020,22080,160065
2019/5/29,21850,21870,21680,21780,54188
2019/5/30,21690,21740,21610,21720,83651
2019/5/31,21580,21610,21360,21370,47747
2019/6/3,21090,21220,21080,21170,185255
2019/6/4,21200,21220,21070,21160,26634
2019/6/5,21540,21580,21480,21570,19046
2019/6/6,21530,21630,21530,21560,35940
2019/6/7,21650,21700,21620,21680,12477
2019/6/10,21910,21970,21870,21920,37630
2019/6/11,21880,22030,21870,22020,20353
2019/6/12,21940,22060,21930,21960,8192
2019/6/13,21870,21900,21730,21820,16283
2019/6/14,21840,21920,21780,21920,8209
2019/6/17,21890,21980,21850,21930,19192
2019/6/18,21920,21950,21720,21750,12540
2019/6/19,22070,22170,22070,22160,33377
2019/6/20,22250,22290,22180,22260,16057
2019/6/21,22310,22310,22020,22060,10506
2019/6/24,22020,22120,21990,22090,6880
2019/6/25,22040,22110,21920,21980,7558
2019/6/26,21890,21960,21870,21920,5025
2019/6/27,21970,22160,21960,22160,21217
2019/6/28,22100,22150,22040,22100,16606
2019/7/1,22510,22600,22400,22600,45102
2019/7/2,22560,22640,22550,22580,15361
2019/7/3,22540,22540,22410,22470,38466
2019/7/4,22570,22600,22530,22530,27382
2019/7/5,22560,22580,22500,22570,24230
2019/7/8,22100,22100,21930,21980,33248
2019/7/9,22030,22120,21940,21970,28156
2019/7/10,21960,22030,21950,21980,14283
2019/7/11,21980,22070,21960,22070,8590
2019/7/12,22120,22130,22030,22100,5834
2019/7/16,22050,22070,21940,21970,8545
2019/7/17,21900,21910,21820,21900,6555
2019/7/18,21750,21770,21410,21440,56933
2019/7/19,21580,21900,21550,21880,38614
2019/7/22,21820,21870,21740,21820,8806
2019/7/23,21850,22120,21850,22040,83245
2019/7/24,22180,22180,22110,22110,37378
2019/7/25,22220,22260,22180,22190,50447
2019/7/26,22100,22130,22020,22070,9313
2019/7/29,22070,22080,21950,22010,7937
2019/7/30,22090,22210,22090,22120,42028
2019/7/31,21950,22000,21900,21950,16482
2019/8/1,21790,21980,21720,21950,26208
2019/8/2,21540,21580,21380,21480,102489
2019/8/5,21330,21350,20930,21120,95547
2019/8/6,20450,21020,20450,20980,133572
2019/8/7,20950,20970,20800,20920,45838
2019/8/8,20950,21090,20870,21030,13517
2019/8/9,21190,21200,21090,21110,34895
2019/8/13,20820,20890,20770,20840,23615
2019/8/14,21100,21120,20980,21030,15609
2019/8/15,20650,20810,20580,20800,40704
2019/8/16,20710,20860,20700,20840,7666
2019/8/19,21010,21040,20920,20980,13935
2019/8/20,21030,21090,21000,21080,36874
2019/8/21,20900,21040,20890,21030,19480
2019/8/22,21120,21140,21000,21050,9219
2019/8/23,21010,21130,21010,21130,8921
2019/8/26,20560,20740,20540,20660,52421
2019/8/27,20870,20930,20840,20840,15041
2019/8/28,20890,20910,20840,20880,5684
2019/8/29,20910,20920,20780,20870,6893
2019/8/30,21070,21160,21050,21140,30672
2019/9/2,21020,21080,21020,21030,4561
2019/9/3,21000,21070,20990,21030,40539
2019/9/4,20980,21110,20980,21080,31477
2019/9/5,21200,21590,21200,21540,67173
2019/9/6,21630,21670,21580,21590,98356
2019/9/9,21620,21760,21610,21730,14378
2019/9/10,21800,21860,21780,21810,35636
2019/9/11,21890,22050,21880,22010,12580
2019/9/12,22220,22260,22180,22230,39376
2019/9/13,22340,22450,22260,22440,56534
2019/9/17,22370,22470,22310,22450,43635
2019/9/18,22450,22470,22390,22420,81553
2019/9/19,22500,22700,22450,22500,149028
2019/9/20,22570,22640,22490,22490,33603
2019/9/24,22510,22610,22510,22560,51563
2019/9/25,22410,22480,22350,22450,25462
2019/9/26,22600,22620,22440,22460,30968
2019/9/27,22560,22560,22340,22470,18125
2019/9/30,22340,22400,22270,22320,25390
2019/10/1,22420,22540,22410,22500,18413
2019/10/2,22340,22390,22320,22380,4774
2019/10/3,21990,22020,21870,21940,53628
2019/10/4,21920,22010,21870,22010,25901
2019/10/7,22050,22060,21920,21950,33026
2019/10/8,22070,22230,22070,22200,10776
2019/10/9,21970,22050,21950,22050,16992
2019/10/10,22050,22190,21910,22150,24184
2019/10/11,22330,22410,22280,22380,25211
