Date,Open,High,Low,Close,Adj Close,Volume
2005/11/29,14900.63965,14995.08008,14868.03027,14927.7002,14927.7002,128100
2005/11/30,14981.33984,15013.24023,14872.15039,14872.15039,14872.15039,148900
2005/12/1,14914.75,15130.5,14880.17969,15130.5,15130.5,150800
2005/12/2,15272.62012,15421.59961,15245.36035,15421.59961,15421.59961,211700
2005/12/5,15413.51953,15563.38965,15379.63965,15551.30957,15551.30957,244600
2005/12/6,15518.66992,15572.71973,15423.37988,15423.37988,15423.37988,188600
2005/12/7,15520.33984,15558.32031,15467.75,15484.66016,15484.66016,151200
2005/12/8,15470.65039,15523.15039,15183.36035,15183.36035,15183.36035,147800
2005/12/9,15127.79981,15447.12988,15117.15039,15404.04981,15404.04981,254500
2005/12/12,15549.65039,15764.99023,15548.45996,15738.7002,15738.7002,185600
2005/12/13,15754.30957,15782.29981,15666.08984,15778.86035,15778.86035,238400
2005/12/14,15817.92969,15885.51953,15447.15039,15464.58008,15464.58008,228800
2005/12/15,15376.26953,15469.34961,15254.44043,15254.44043,15254.44043,151500
2005/12/16,15222,15365.48047,15095.55957,15173.07031,15173.07031,149100
2005/12/19,15252.15039,15391.48047,15196,15391.48047,15391.48047,98200
2005/12/20,15388.70996,15647.69043,15365.38965,15641.25977,15641.25977,122100
2005/12/21,15713.07031,16010.16992,15711.91016,15957.57031,15957.57031,134700
2005/12/22,15975.99023,15991.29981,15759.73047,15941.37012,15941.37012,161800
2005/12/26,16027.66016,16108.94043,16026.17969,16107.66992,16107.66992,101800
2005/12/27,16033.94043,16079.17969,15962.73047,15969.40039,15969.40039,84500
2005/12/28,15920.66992,16194.61035,15911.23047,16194.61035,16194.61035,82000
2005/12/29,16247.54004,16445.56055,16246.66992,16344.2002,16344.2002,96200
2005/12/30,16412.75,16413.17969,16111.42969,16111.42969,16111.42969,55500
2006/1/4,16294.65039,16361.54004,16250.75977,16361.54004,16361.54004,94300
2006/1/5,16441.26953,16474.51953,16368.50977,16425.36914,16425.36914,164500
2006/1/6,16408.31055,16479.55078,16320.42969,16428.21094,16428.21094,170400
2006/1/10,16487.05078,16487.05078,16124.34961,16124.34961,16124.34961,154600
2006/1/11,16164.91992,16363.58984,16005.24023,16363.58984,16363.58984,146200
2006/1/12,16426.68945,16472.99023,16310.4502,16445.18945,16445.18945,129700
2006/1/13,16454.32031,16490.26953,16383.23047,16454.94922,16454.94922,137500
2006/1/16,16360.04004,16387.63086,16221.58984,16268.03027,16268.03027,109900
2006/1/17,16152.07031,16324.16992,15805.9502,15805.9502,15805.9502,140300
2006/1/18,15725.63965,15725.63965,15059.51953,15341.17969,15341.17969,192400
2006/1/19,15396.59961,15740.82031,15396.59961,15696.28027,15696.28027,148000
2006/1/20,15847.16992,15875.38965,15597.76953,15696.69043,15696.69043,123900
2006/1/23,15497.61035,15564.90039,15312.70996,15360.65039,15360.65039,108400
2006/1/24,15470.91016,15685.13965,15470.38965,15648.88965,15648.88965,94500
2006/1/25,15725.75977,15849.51953,15651,15651,15651,143700
2006/1/26,15783.7002,15891.01953,15764.88965,15891.01953,15891.01953,121800
